@lat	@lon	name	tourism	historic	amenity
41.1285224	-6.7567770	Mirador del Monte Gudín	viewpoint		
41.4944699	-7.5210081		viewpoint		
41.4965441	-7.5239272		viewpoint		
38.6452383	-9.2226947		viewpoint		
41.7976328	-8.5738945	Centro Paroquial de São Tiago		monument	
38.7131073	-9.1497546	Museu Geológico	museum		
39.2977889	-8.5811516	Patacão	attraction		
39.0946196	-9.2612224	Castelo de Torres Vedras		castle	
39.0901781	-9.2591305	Museu Municipal Leonel Trindade	museum		
39.4591193	-8.3845856		viewpoint		
38.7179305	-9.2826986	Serra da Caiada	viewpoint		
38.7695294	-9.4442454		viewpoint		
39.4174890	-8.9153354		viewpoint		
39.2396142	-8.6771062	Miradouro de São Bento	viewpoint		
38.8954502	-9.1701883		viewpoint		
38.7971150	-9.3902304	Pelourinho de Sintra	attraction	pillory	
40.9999544	-8.6440152	Museu Municipal de Espinho	museum		
41.7277763	-8.1711599	Miradouro da Boneca	viewpoint		
39.6136078	-9.0836514		viewpoint		
39.6044244	-9.0853473	Farol da Nazaré	attraction	yes	
39.6049709	-9.0744634		viewpoint		
38.8206543	-9.2105596		viewpoint		
38.8270154	-9.2006016		viewpoint		
39.6062337	-9.0706785		viewpoint		
40.7754237	-7.0638648	Casa Museu Helena e António Seixas	museum		
40.7754262	-7.0628307	Pelourinho de Pinhel	attraction	pillory	
41.1594273	-8.6255051	Casa-Museu Marta Ortigão Sampaio	museum		
40.3788012	-8.3596114	Museu Militar do Buçaco	museum		
41.5614606	-8.4271656		viewpoint		
41.8297860	-7.9500261	Miradouro da Cascata de Pitões das Júnias (Norte)	viewpoint		
41.0478441	-6.9406324		viewpoint		
41.0515405	-6.9116317		viewpoint		
39.6941484	-8.1301428		viewpoint		
40.6210653	-6.9004757	Castelo de Castelo Bom		castle	
40.6208539	-6.9012519	Porta da Vila		castle	
40.6223299	-6.9017701	Miradouro da Costa	viewpoint		
40.6219268	-6.9025372		viewpoint		
40.6208723	-6.9013463		viewpoint		
40.6217966	-6.9005685		viewpoint		
40.6210433	-6.9003754		viewpoint		
41.7157591	-8.1531970	Miradouro da Pedra Bela	viewpoint		
38.7333914	-9.1756878	Alto da Serafina	viewpoint		
41.1383118	-8.6086587	Miradouro do Largo de Aviz	viewpoint		
39.2549992	-8.0099238	Museu do Arroz	museum		
40.8506735	-7.2576900	Miradouro da Santa Bárbara	viewpoint		
40.8545161	-7.2601147			monument	
40.8543903	-7.2600584		museum		
41.1467181	-8.6773162	Farolim de Felgueiras	attraction		
41.6132270	-8.7696837	Azenha de Minante	attraction		
38.6794671	-9.1713441		viewpoint		
40.2088647	-8.4283964	Fado ao Centro	attraction		
38.6860869	-9.1475996		viewpoint		
39.0145566	-7.0689214	Estátua de Santa Beatriz da Silva	attraction		toilets
